text,class
я когда всегда:обычная ситуация за 5 минут до выхода а что если я не пойду?nan,[]
когда ребенок в первый раз сходил на горшок!😅🤣🤣🤣nannan,['личная жизнь']
"очень странная пара на концерте #импровизация #соболев«во \"" тайна мужа chuчем вы занимаетесь? я кондитер. какое-то делали недавно кому-то торт? конечно, я каждый день делаю. вы едите сами, скажи я честно? не очень. не любите вообще, да? почему? хуйня? не очень люблю. нет, на просто. это очень невкусно. просто омерзительно. я не знаю, кто это ест. а вы поговорите с моим мужем, он вообще с кладбища. а что он? недоотзыв? нет, он не ест. а пирожные забирал последние? да, заказала компания. вот сейчас, к сожалению, торт что-то не так пошел. но за то вот на 40 дней заказали у нас еще один хороший.",['юмор']
https://youtu.be/bogq4hfe3ro?si=jqmk-gozm3pmnknx  вперед👆🏽📺nannan,['соцсети']
"вокруг меня сейчас летала оса, я ей сказала: «оса, ну не летай тут пожалуйста, блин» и она улетела. ну и кто тут не элайза торнбери?nannan",['юмор']
"опубликован комментарий к записи: https://vk.com/wall-211026215_327888  [id9461530|анна], именно этого результата мы и хотели достичь при создании шампуня!🫶🏻🧴🩵nannan",['реклама']
"куколд года #юмор #шуткаnanдамы и господа, победитель в номинации куколд года, чувак из видео. у тебя был роман? я не знаю, как это роман, не роман. начался кризис в отношении. я очень сильно ушел в работу, вообще не обращал внимания на алису. когда мало времени уделяешь семье, отношениям, девушке, в какой-то момент может что-то произойти. что-то произошло? она влюбилась в другого мужчину. просто на таком-то мероприятии, там день рождения у подруги был, был мужчина, и у нее что-то внутри екнуло. гармон какой-то. гармон шлюха, блин, попался. ну, просто у меня, ну как я говорю, у меня какая-то произошла именно связи. половая. взрослый мужчина, ему сколько там, 40 лет было, я не помню, 44, 44, да. 44. я учил. я, видимо, почувствовала эту энергию вот этого успешного мужчины, у которого много энергии, много денег. а у андрея тогда были трудности. спали в итоге или нет? нет. я просто не отношусь... нет. нельзя. нет. ну, мы вообще, блин, там... срочно переводим тему. велосипеды, рыба, краснодар. для каждого измена это свое. для меня вот измена это шорты. я поехала вот с этим мужчиной в отель, и андрей видел сторис. я все снимала в сторис, подписчики видели. привет, подписчики, меня везут ебать.",['юмор']
женственный образ с укладкой «морской бриз» или жгучий и таинственный с красной помадой ?💄   голосуем 👇🏻nannan,['личная жизнь']
"внимание: на рынок щенков вышли 2 дочери толика😊 беленькая и черненькая🩷🩷  только хорошим людям писать, мои внучки только к добрым людям😎 за всей информацией пишите наташе по тел: +7 (903) 601-26-16nannan",['личная жизнь']
"сразились с ребятами за звание «звездного дурака». угадаете, кто проиграл, но ушел домой с ди каприо? 😏к а « о гл ; ны; -re ~ s й звёзаный 1 о в звёзаный дурак дурак\"" у у е~е~ 2 р~е с ; q о ~ 2 а al~ ` звёз 4 е - pnan",['юмор']
с ума сойти.  п фк «краснодар» канал «краснодар» расторг контракт с владимиром ивичем  клуб благодарит его за работу и желает успехов в дальнейшей работе и жизни 🔗 https://t.me/fckrasnodar/8471nannan,['спорт']
